Date,price,prob_down,pred_ret,ret_1d
2008-11-03,725.4,0.5282583236694336,0.0016869523096829653,0.042183637619018555
2008-11-04,756.0,0.5281423926353455,0.0018900404684245586,-0.01944446563720703
2008-11-05,741.3,0.5277842283248901,0.002055241260677576,-0.01362466812133789
2008-11-06,731.2,0.5273103713989258,0.0021511514205485582,0.0027352571487426758
2008-11-07,733.2,0.5270035862922668,0.002224462805315852,0.016912102699279785
2008-11-10,745.6,0.5267477035522461,0.002277736086398363,-0.01824033260345459
2008-11-11,732.0,0.5264591574668884,0.002313287928700447,-0.019535481929779053
2008-11-12,717.7,0.526032567024231,0.0023279779125005007,-0.017834722995758057
2008-11-13,704.9,0.5257344841957092,0.0023593143559992313,0.053199052810668945
2008-11-14,742.4,0.5253957509994507,0.002378388773649931,-0.0006734728813171387
2008-11-17,741.9,0.5250561237335205,0.002367139793932438,-0.012535452842712402
2008-11-18,732.6,0.5243980288505554,0.0023451840970665216,0.004504561424255371
2008-11-19,735.9,0.5233805775642395,0.0022941012866795063,0.0172576904296875
2008-11-20,748.6,0.5217832326889038,0.0021982681937515736,0.05757415294647217
2008-11-21,791.7,0.5201486349105835,0.002107324544340372,0.03498804569244385
2008-11-24,819.4,0.5186057090759277,0.0020741214975714684,-0.001220405101776123
2008-11-25,818.4,0.5168407559394836,0.0020740146283060312,-0.012096822261810303
2008-11-26,808.5,0.5147235989570618,0.00210734736174345,0.009523868560791016
2008-11-28,816.2,0.5121645331382751,0.002180705312639475,-0.05096793174743652
2008-12-01,774.6,0.5088757276535034,0.002239212626591325,0.008649587631225586
2008-12-02,781.3,0.505239725112915,0.0022958596237003803,-0.0159989595413208
2008-12-03,768.8,0.5013190507888794,0.002359265461564064,-0.006503641605377197
2008-12-04,763.8,0.4983181357383728,0.002424060134217143,-0.017412900924682617
2008-12-05,750.5,0.49648672342300415,0.002484741387888789,0.022518396377563477
2008-12-08,767.4,0.4950706362724304,0.0025664549320936203,0.0065155029296875
2008-12-09,772.4,0.49388986825942993,0.002649113768711686,0.04492485523223877
2008-12-10,807.1,0.49299487471580505,0.0027332142926752567,0.022054314613342285
2008-12-11,824.9,0.4924043118953705,0.0027973714750260115,-0.007273614406585693
2008-12-12,818.9,0.49202248454093933,0.0028431029058992863,0.02014899253845215
2008-12-15,835.4,0.4917179048061371,0.0028728297911584377,0.007541298866271973
2008-12-16,841.7,0.4913921654224396,0.002889563562348485,0.030652284622192383
2008-12-17,867.5,0.4910516142845154,0.002878741594031453,-0.009106636047363281
2008-12-18,859.6,0.4905930757522583,0.0028437860310077667,-0.026989221572875977
2008-12-19,836.4,0.4900140166282654,0.0027976876590400934,0.011716842651367188
2008-12-22,846.2,0.4894788861274719,0.002748833503574133,-0.010635793209075928
2008-12-23,837.2,0.48899465799331665,0.0027015586383640766,0.011825084686279297
2008-12-24,847.1,0.48860326409339905,0.0026632642839103937,0.02750563621520996
2008-12-26,870.4,0.48827263712882996,0.0026356729213148355,0.0048253536224365234
2008-12-29,874.6,0.48797842860221863,0.0026128035970032215,-0.006059885025024414
2008-12-30,869.3,0.48768794536590576,0.002607814036309719,0.016450047492980957
2008-12-31,883.6,0.48758989572525024,0.0026159347034990788,-0.005432307720184326
2009-01-02,878.8,0.4877890646457672,0.0026377879548817873,-0.02457892894744873
2009-01-05,857.2,0.4880813956260681,0.002676782663911581,0.009566068649291992
2009-01-06,865.4,0.48840388655662537,0.0027324508409947157,-0.028079569339752197
2009-01-07,841.1,0.4887124001979828,0.0027773601468652487,0.015218257904052734
2009-01-08,853.9,0.4890185296535492,0.0028156116604804993,0.00046837329864501953
2009-01-09,854.3,0.4892277717590332,0.0028455136343836784,-0.03979867696762085
2009-01-12,820.3,0.4891939163208008,0.00286684138700366,-0.00024384260177612305
2009-01-13,820.1,0.4889833927154541,0.002899543382227421,-0.014510393142700195
2009-01-14,808.2,0.4884866178035736,0.0029245191253721714,-0.0018559694290161133
2009-01-15,806.7,0.4877854287624359,0.0029541580006480217,0.04041147232055664
2009-01-16,839.3,0.48726537823677063,0.002992866560816765,0.01822948455810547
2009-01-20,854.6,0.4867309331893921,0.003000200493261218,-0.005850672721862793
2009-01-21,849.6,0.486512154340744,0.0030319252982735634,0.010122418403625488
2009-01-22,858.2,0.48653459548950195,0.0030754597391933203,0.04322993755340576
2009-01-23,895.3,0.4866928160190582,0.0031372352968901396,0.014743685722351074
